name,rating,genre,release_year,movie_runtime,imdb_link
The Shawshank Redemption,9.3,Epic / Period Drama / Prison Drama / Drama / Authentic emotion / Character development / Emotional weight / Enduring legacy / Friendship / Inspirational / Performance / Cinematography / Narration,1994,2h 22m,https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1
The Godfather,9.2,Epic / Gangster / Tragedy / Crime / Drama / Atmospheric / Authentic emotion / Character development / Cinematography / Direction / Enduring legacy / Family dynamics / Iconic lines / Iconic performance / Narrative complexity,1972,2h 55m,https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2
The Dark Knight,9.0,Action Epic / Epic / Superhero / Tragedy / Action / Crime / Drama / Thriller / Action sequences / Cinematography / Direction / Standout performance / Adaptation / Dark tone / Philosophical elements / Character development / Pacing,2008,2h 32m,https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3
The Godfather Part II,9.0,Epic / Gangster / Tragedy / Crime / Drama / Atmospheric / Cinematography / Production design / Character development / Duality / Family dynamics / Inner conflict / Legacy / Morality / Narrative complexity,1974,3h 22m,https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4
12 Angry Men,9.0,Legal Drama / Psychological Drama / Crime / Drama / Authentic emotion / Direction / Dramatic tension / Great ensemble / Morality / Social commentary / Suspenseful / Thought-provoking / Writing,1957,1h 36m,https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5
The Lord of the Rings: The Return of the King,9.0,Action Epic / Adventure Epic / Epic / Fantasy Epic / Mountain Adventure / Quest / Sword & Sorcery / Tragedy / Adventure / Drama / Action sequences / Atmospheric / Authentic emotion / Character development / Cinematography / Enduring legacy / Epic / Iconic ending / Adaptation,2003,3h 21m,https://www.imdb.com/title/tt0167260/?ref_=chttp_t_6
Schindler's List,9.0,Docudrama / Epic / Historical Epic / Period Drama / Prison Drama / Tragedy / Biography / Drama / History / Atmospheric / Authentic emotion / Character development / Cinematography / Direction / Historical accuracy / Musical score / Performance / Symbolism,1993,3h 15m,https://www.imdb.com/title/tt0108052/?ref_=chttp_t_7
Pulp Fiction,8.8,Dark Comedy / Drug Crime / Gangster / Crime / Drama / Atmospheric / Authentic emotion / Cinematography / Comedic brilliance / Dark humor / Genre blending / Iconic soundtrack / Non-linear structure,1994,2h 34m,https://www.imdb.com/title/tt0110912/?ref_=chttp_t_8
The Lord of the Rings: The Fellowship of the Ring,8.9,Action Epic / Adventure Epic / Dark Fantasy / Epic / Fantasy Epic / Quest / Sword & Sorcery / Adventure / Drama / Fantasy / Adaptation / Ambitious / Authentic emotion / Character development / Cinematography / Epic / Friendship / Production design / Special effects / Worldbuilding,2001,2h 58m,https://www.imdb.com/title/tt0120737/?ref_=chttp_t_9
"The Good, the Bad and the Ugly",8.8,Adventure Epic / Dark Comedy / Desert Adventure / Epic / Period Drama / Quest / Spaghetti Western / Western Epic / Adventure / Drama / Action sequences / Atmospheric / Cinematography / Direction / Dramatic tension / Great ensemble / Iconic scene / Iconic score / Thin story,1966,2h 58m,https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10
Forrest Gump,8.8,Epic / Drama / Romance / Comedic brilliance / Friendship / Heartfelt / Inspirational / Nostalgic / Personal growth / Adaptation,1994,2h 22m,https://www.imdb.com/title/tt0109830/?ref_=chttp_t_11
The Lord of the Rings: The Two Towers,8.8,Action Epic / Adventure Epic / Dark Fantasy / Epic / Fantasy Epic / Quest / Sword & Sorcery / Adventure / Drama / Fantasy / Action sequences / Character development / Cinematography / Creature design / Dramatic tension / Epic / Friendship / Worldbuilding / Adaptation,2002,2h 59m,https://www.imdb.com/title/tt0167261/?ref_=chttp_t_12
Fight Club,8.8,Dark Comedy / Psychological Drama / Psychological Thriller / Workplace Drama / Crime / Drama / Thriller / Allegorical elements / Cinematography / Direction / Performance / Psychological depth / Social commentary / Sound design / Thought-provoking / Narrative complexity,1999,2h 19m,https://www.imdb.com/title/tt0137523/?ref_=chttp_t_13
